time,id,x,y
221,40,6.599999999999999,5.0
221,41,24.179156198881955,2.417915619888196
222,39,18.0,5.0
222,40,7.149999999999999,5.0
222,41,24.77617851300795,2.4776178513007956
223,39,19.0,5.0
223,40,7.699999999999998,5.0
223,41,25.373200827133942,2.537320082713395
224,39,20.0,5.0
224,40,8.249999999999998,5.0
224,41,25.970223141259936,2.5970223141259945
225,39,21.0,5.0
225,40,8.799999999999999,5.0
225,41,26.56724545538593,2.656724545538594
225,42,20.597022314125994,2.0597022314125994
226,39,22.0,5.0
226,40,9.35,5.0
226,41,27.164267769511923,2.7164267769511934
226,42,21.194044628251987,2.119404462825199
227,39,23.0,5.0
227,40,9.9,5.0
227,41,27.761290083637917,2.776129008363793
227,42,21.79106694237798,2.1791066942377983
228,39,24.0,5.0
228,40,10.450000000000001,5.0
228,41,28.35831239776391,2.8358312397763923
228,42,22.388089256503974,2.238808925650398
229,39,25.0,5.0
229,40,11.000000000000002,5.0
229,41,28.955334711889904,2.8955334711889917
229,42,22.985111570629968,2.2985111570629972
230,39,26.0,5.0
230,40,11.550000000000002,5.0
230,41,29.552357026015898,2.955235702601591
230,42,23.58213388475596,2.3582133884755967
231,39,27.0,5.0
231,40,12.100000000000003,5.0
231,41,30.14937934014189,3.0149379340141906
231,42,24.179156198881955,2.417915619888196
232,39,28.0,5.0
232,40,12.650000000000004,5.0
232,41,30.746401654267885,3.07464016542679
232,42,24.77617851300795,2.4776178513007956
233,39,29.0,5.0
233,40,13.200000000000005,5.0
233,41,31.34342396839388,3.1343423968393895
233,42,25.373200827133942,2.537320082713395
234,39,30.0,5.0
234,40,13.750000000000005,5.0
234,41,31.940446282519872,3.194044628251989
234,42,25.970223141259936,2.5970223141259945
235,39,31.0,5.0
235,40,14.300000000000006,5.0
235,41,32.537468596645866,3.2537468596645884
235,42,26.56724545538593,2.656724545538594
235,43,1.0,5.0
236,39,32.0,5.0
236,40,14.850000000000007,5.0
236,41,33.13449091077186,3.313449091077188
236,42,27.164267769511923,2.7164267769511934
236,43,2.0,5.0
237,39,33.0,5.0
237,40,15.400000000000007,5.0
237,41,33.73151322489785,3.3731513224897873
237,42,27.761290083637917,2.776129008363793
237,43,3.0,5.0
238,39,34.0,5.0
238,40,15.950000000000008,5.0
238,41,34.32853553902385,3.432853553902387
238,42,28.35831239776391,2.8358312397763923
238,43,4.0,5.0
239,39,35.0,5.0
239,40,16.500000000000007,5.0
239,41,34.92555785314984,3.4925557853149862
239,42,28.955334711889904,2.8955334711889917
239,43,5.0,5.0
240,39,36.0,5.0
240,40,17.050000000000008,5.0
240,41,35.522580167275834,3.5522580167275857
240,42,29.552357026015898,2.955235702601591
240,43,6.0,5.0
240,44,20.597022314125994,2.0597022314125994
241,39,37.0,5.0
241,40,17.60000000000001,5.0
241,41,36.11960248140183,3.611960248140185
241,42,30.14937934014189,3.0149379340141906
241,43,7.0,5.0
241,44,21.194044628251987,2.119404462825199
242,39,38.0,5.0
242,40,18.15000000000001,5.0
242,41,36.71662479552782,3.6716624795527846
242,42,30.746401654267885,3.07464016542679
242,43,8.0,5.0
242,44,21.79106694237798,2.1791066942377983
243,39,39.0,5.0
243,40,18.70000000000001,5.0
243,41,37.313647109653814,3.731364710965384
243,42,31.34342396839388,3.1343423968393895
243,43,9.0,5.0
243,44,22.388089256503974,2.238808925650398
244,39,40.0,5.0
244,40,19.25000000000001,5.0
244,41,37.91066942377981,3.7910669423779835
244,42,31.940446282519872,3.194044628251989
244,43,10.0,5.0
244,44,22.985111570629968,2.2985111570629972
245,39,41.0,5.0
245,40,19.80000000000001,5.0
245,41,38.5076917379058,3.850769173790583
245,42,32.537468596645866,3.2537468596645884
245,43,11.0,5.0
245,44,23.58213388475596,2.3582133884755967
246,39,42.0,5.0
246,40,20.350000000000012,5.0
246,41,39.104714052031795,3.9104714052031824
246,42,33.13449091077186,3.313449091077188
246,43,12.0,5.0
246,44,24.179156198881955,2.417915619888196
247,39,43.0,5.0
247,40,20.900000000000013,5.0
247,41,39.70173636615779,3.970173636615782
247,42,33.73151322489785,3.3731513224897873
247,43,13.0,5.0
247,44,24.77617851300795,2.4776178513007956
248,39,44.0,5.0
248,40,21.450000000000014,5.0
248,41,40.29875868028378,4.029875868028381
248,42,34.32853553902385,3.432853553902387
248,43,14.0,5.0
248,44,25.373200827133942,2.537320082713395
249,39,45.0,5.0
249,40,22.000000000000014,5.0
249,41,40.895780994409776,4.08957809944098
249,42,34.92555785314984,3.4925557853149862
249,43,15.0,5.0
249,44,25.970223141259936,2.5970223141259945
250,39,46.0,5.0
250,40,22.550000000000015,5.0
250,41,41.49280330853577,4.149280330853579
250,42,35.522580167275834,3.5522580167275857
250,43,16.0,5.0
250,44,26.56724545538593,2.656724545538594
250,45,0.85,5.0
251,39,47.0,5.0
251,40,23.100000000000016,5.0
251,41,42.08982562266176,4.208982562266178
251,42,36.11960248140183,3.611960248140185
251,43,17.0,5.0
251,44,27.164267769511923,2.7164267769511934
251,45,1.7,5.0
252,39,48.0,5.0
252,40,23.650000000000016,5.0
252,41,42.68684793678776,4.268684793678777
252,42,36.71662479552782,3.6716624795527846
252,43,18.0,5.0
252,44,27.761290083637917,2.776129008363793
252,45,2.55,5.0
253,39,49.0,5.0
253,40,24.200000000000017,5.0
253,41,43.28387025091375,4.328387025091376
253,42,37.313647109653814,3.731364710965384
253,43,19.0,5.0
253,44,28.35831239776391,2.8358312397763923
253,45,3.4,5.0
254,39,50.0,5.0
254,40,24.750000000000018,5.0
254,41,43.880892565039744,4.388089256503975
254,42,37.91066942377981,3.7910669423779835
254,43,20.0,5.0
254,44,28.955334711889904,2.8955334711889917
254,45,4.25,5.0
255,39,51.0,5.0
255,40,25.30000000000002,5.0
255,41,44.47791487916574,4.447791487916574
255,42,38.5076917379058,3.850769173790583
255,43,21.0,5.0
255,44,29.552357026015898,2.955235702601591
255,45,5.1,5.0
255,46,1.0,5.0
256,39,52.0,5.0
256,40,25.85000000000002,5.0
256,41,45.07493719329173,4.507493719329173
256,42,39.104714052031795,3.9104714052031824
256,43,22.0,5.0
256,44,30.14937934014189,3.0149379340141906
256,45,5.949999999999999,5.0
256,46,2.0,5.0
257,39,53.0,5.0
257,40,26.40000000000002,5.0
257,41,45.671959507417725,4.567195950741772
257,42,39.70173636615779,3.970173636615782
257,43,23.0,5.0
